It was the boys who I think [MASK] lost .,N-pl,1
It was the girls who I think [MASK] lost .,N-pl,1
It was the patients who I think [MASK] lost .,N-pl,1
It was the parents who I think [MASK] lost .,N-pl,1
It was the men who I think [MASK] lost .,N-pl,1
It was the women who I think [MASK] lost .,N-pl,1
It was the neighbors who I think [MASK] angry .,N-pl,1
It was the teachers who I think [MASK] sick .,N-pl,1
It was the lawyers who I think [MASK] upset .,N-pl,1
It was the reporters who I think [MASK] upset .,N-pl,1
It was the coaches who I think [MASK] upset .,N-pl,1
It was the customers who I think [MASK] upset .,N-pl,1
It was the officers who I think [MASK] angry .,N-pl,1
It was the patrons who I think [MASK] angry .,N-pl,1
It was the babies who I think [MASK] sick .,N-pl,1
It was the authors who I think [MASK] upset .,N-pl,1
It was the nurses who I think [MASK] upset .,N-pl,1
It was the instructors who I think [MASK] upset .,N-pl,1
It was the teenagers who I think [MASK] upset .,N-pl,1
It was the cousins who I think [MASK] upset .,N-pl,1
It was the boy who I think [MASK] lost .,N-sg,1
It was the girl who I think [MASK] lost .,N-sg,1
It was the patient who I think [MASK] lost .,N-sg,1
It was the parent who I think [MASK] lost .,N-sg,1
It was the man who I think [MASK] lost .,N-sg,1
It was the woman who I think [MASK] lost .,N-sg,1
It was the neighbor who I think [MASK] angry .,N-sg,1
It was the teacher who I think [MASK] sick .,N-sg,1
It was the lawyer who I think [MASK] upset .,N-sg,1
It was the reporter who I think [MASK] upset .,N-sg,1
It was the coach who I think [MASK] upset .,N-sg,1
It was the customer who I think [MASK] upset .,N-sg,1
It was the officer who I think [MASK] angry .,N-sg,1
It was the patron who I think [MASK] angry .,N-sg,1
It was the baby who I think [MASK] sick .,N-sg,1
It was the author who I think [MASK] upset .,N-sg,1
It was the nurse who I think [MASK] upset .,N-sg,1
It was the instructor who I think [MASK] upset .,N-sg,1
It was the teenager who I think [MASK] upset .,N-sg,1
It was the cousin who I think [MASK] upset .,N-sg,1
It was the boys who I think you said [MASK] lost .,N-pl,2
It was the girls who I think you said [MASK] lost .,N-pl,2
It was the patients who I think you said [MASK] lost .,N-pl,2
It was the parents who I think you said [MASK] lost .,N-pl,2
It was the men who I think you said [MASK] lost .,N-pl,2
It was the women who I think you said [MASK] lost .,N-pl,2
It was the neighbors who I think you said [MASK] angry .,N-pl,2
It was the teachers who I think you said [MASK] sick .,N-pl,2
It was the lawyers who I think you said [MASK] upset .,N-pl,2
It was the reporters who I think you said [MASK] upset .,N-pl,2
It was the coaches who I think you said [MASK] upset .,N-pl,2
It was the customers who I think you said [MASK] upset .,N-pl,2
It was the officers who I think you said [MASK] angry .,N-pl,2
It was the patrons who I think you said [MASK] angry .,N-pl,2
It was the babies who I think you said [MASK] sick .,N-pl,2
It was the authors who I think you said [MASK] upset .,N-pl,2
It was the nurses who I think you said [MASK] upset .,N-pl,2
It was the instructors who I think you said [MASK] upset .,N-pl,2
It was the teenagers who I think you said [MASK] upset .,N-pl,2
It was the cousins who I think you said [MASK] upset .,N-pl,2
It was the boy who I think you said [MASK] lost .,N-sg,2
It was the girl who I think you said [MASK] lost .,N-sg,2
It was the patient who I think you said [MASK] lost .,N-sg,2
It was the parent who I think you said [MASK] lost .,N-sg,2
It was the man who I think you said [MASK] lost .,N-sg,2
It was the woman who I think you said [MASK] lost .,N-sg,2
It was the neighbor who I think you said [MASK] angry .,N-sg,2
It was the teacher who I think you said [MASK] sick .,N-sg,2
It was the lawyer who I think you said [MASK] upset .,N-sg,2
It was the reporter who I think you said [MASK] upset .,N-sg,2
It was the coach who I think you said [MASK] upset .,N-sg,2
It was the customer who I think you said [MASK] upset .,N-sg,2
It was the officer who I think you said [MASK] angry .,N-sg,2
It was the patron who I think you said [MASK] angry .,N-sg,2
It was the baby who I think you said [MASK] sick .,N-sg,2
It was the author who I think you said [MASK] upset .,N-sg,2
It was the nurse who I think you said [MASK] upset .,N-sg,2
It was the instructor who I think you said [MASK] upset .,N-sg,2
It was the teenager who I think you said [MASK] upset .,N-sg,2
It was the cousin who I think you said [MASK] upset .,N-sg,2
It was the boys who I think you said you thought [MASK] lost .,N-pl,3
It was the girls who I think you said you thought [MASK] lost .,N-pl,3
It was the patients who I think you said you thought [MASK] lost .,N-pl,3
It was the parents who I think you said you thought [MASK] lost .,N-pl,3
It was the men who I think you said you thought [MASK] lost .,N-pl,3
