1,People wondered who we talked about them at the party,wh-ngap,1,8
2,People wondered what they worried about it at the party,wh-ngap,1,8
3,People wondered who we heard about them at the party,wh-ngap,1,8
4,People wondered what we spoke about that at the party,wh-ngap,1,8
5,People wondered who they asked about this at the party,wh-ngap,1,8
6,People wondered who we complained about them at the party,wh-ngap,1,8
7,People wondered who we said about them at the party,wh-ngap,1,8
8,People wondered what she argued about it at the party,wh-ngap,1,8
9,People wondered what we speculated about it at the party,wh-ngap,1,8
10,People wondered what he thought about it at the party,wh-ngap,1,8
1,People wondered who we talked about at the party,wh-gap,1,7
2,People wondered what they worried about at the party,wh-gap,1,7
3,People wondered who we heard about at the party,wh-gap,1,7
4,People wondered what we spoke about at the party,wh-gap,1,7
5,People wondered who they asked about at the party,wh-gap,1,7
6,People wondered who we complained about at the party,wh-gap,1,7
7,People wondered who we said about at the party,wh-gap,1,7
8,People wondered what she argued about at the party,wh-gap,1,7
9,People wondered what we speculated about at the party,wh-gap,1,7
10,People wondered what he thought about at the party,wh-gap,1,7
1,People wondered if we talked about them at the party,nwh-ngap,1,8
2,People wondered if they worried about it at the party,nwh-ngap,1,8
3,People wondered if we heard about them at the party,nwh-ngap,1,8
4,People wondered if we spoke about that at the party,nwh-ngap,1,8
5,People wondered if they asked about this at the party,nwh-ngap,1,8
6,People wondered if we complained about them at the party,nwh-ngap,1,8
7,People wondered if we said about them at the party,nwh-ngap,1,8
8,People wondered if she argued about it at the party,nwh-ngap,1,8
9,People wondered if we speculated about that at the party,nwh-ngap,1,8
10,People wondered if he thought about it at the party,nwh-ngap,1,8
1,People wondered if we talked about at the party,nwh-gap,1,7
2,People wondered if they worried about at the party,nwh-gap,1,7
3,People wondered if we heard about at the party,nwh-gap,1,7
4,People wondered if we spoke about at the party,nwh-gap,1,7
5,People wondered if they asked about at the party,nwh-gap,1,7
6,People wondered if we complained about at the party,nwh-gap,1,7
7,People wondered if we said about at the party,nwh-gap,1,7
8,People wondered if she argued about at the party,nwh-gap,1,7
9,People wondered if we speculated about at the party,nwh-gap,1,7
10,People wondered if he thought about at the party,nwh-gap,1,7
1,People wondered who she thinks we talked about them at the party,wh-ngap,2,10
2,People wondered what he suspects they worried about it at the party,wh-ngap,2,10
3,People wondered who you fear we heard about them at the party,wh-ngap,2,10
4,People wondered what she claims we spoke about that at the party,wh-ngap,2,10
5,People wondered who you assume they asked about this at the party,wh-ngap,2,10
6,People wondered who he maintains we complained about them at the party,wh-ngap,2,10
7,People wondered who they say we said about them at the party,wh-ngap,2,10
8,People wondered what I think she argued about it at the party,wh-ngap,2,10
9,People wondered what you believe we speculated about it at the party,wh-ngap,2,10
10,People wondered what we suppose he thought about it at the party,wh-ngap,2,10
1,People wondered who she thinks we talked about at the party,wh-gap,2,9
2,People wondered what he suspects they worried about at the party,wh-gap,2,9
3,People wondered who you fear we heard about at the party,wh-gap,2,9
4,People wondered what she claims we spoke about at the party,wh-gap,2,9
5,People wondered who you assume they asked about at the party,wh-gap,2,9
6,People wondered who he maintains we complained about at the party,wh-gap,2,9
7,People wondered who they say we said about at the party,wh-gap,2,9
8,People wondered what I think she argued about at the party,wh-gap,2,9
9,People wondered what you believe we speculated about at the party,wh-gap,2,9
10,People wondered what we suppose he thought about at the party,wh-gap,2,9
1,People wonder if she thinks we talked about them at the party,nwh-ngap,2,10
2,People wonder if he suspects they worried about it at the party,nwh-ngap,2,10
3,People wonder if you fear we heard about them at the party,nwh-ngap,2,10
4,People wonder if she claims we spoke about that at the party,nwh-ngap,2,10
5,People wonder if you assume they asked about this at the party,nwh-ngap,2,10
6,People wonder if he maintains we complained about them at the party,nwh-ngap,2,10
7,People wonder if they say we said about them at the party,nwh-ngap,2,10
8,People wonder if I think she argued about it at the party,nwh-ngap,2,10
9,People wonder if you believe we speculated about that at the party,nwh-ngap,2,10
10,People wonder if we suppose he thought about it at the party,nwh-ngap,2,10
1,People wonder if she thinks we talked about at the party,nwh-gap,2,9
2,People wonder if he suspects they worried about at the party,nwh-gap,2,9
3,People wonder if you fear we heard about at the party,nwh-gap,2,9
4,People wonder if she claims we spoke about at the party,nwh-gap,2,9
5,People wonder if you assume they asked about at the party,nwh-gap,2,9
6,People wonder if he maintains we complained about at the party,nwh-gap,2,9
7,People wonder if they say we said about at the party,nwh-gap,2,9
8,People wonder if I think she argued about at the party,nwh-gap,2,9
9,People wonder if you believe we speculated about at the party,nwh-gap,2,9
10,People wonder if we suppose he thought about at the party,nwh-gap,2,9
1,People wondered who you think she thinks we talked about them at the party,wh-ngap,3,12
2,People wondered what you believe he suspects they worried about it at the party,wh-ngap,3,12
3,People wondered who she thinks you feared we heard about them at the party,wh-ngap,3,12
4,People wondered what he thinks she claims we spoke about that at the party,wh-ngap,3,12
5,People wondered who they suspect you assumed they asked about this at the party,wh-ngap,3,12
6,People wondered who we claim he maintains we complained about them at the party,wh-ngap,3,12
7,People wondered who she maintains they said we said about them at the party,wh-ngap,3,12
8,People wondered what he believes I think she argued about it at the party,wh-ngap,3,12
9,People wondered what you say you believed we speculated about it at the party,wh-ngap,3,12
10,People wondered what they think we supposed he thought about it at the party,wh-ngap,3,12
1,People wondered who you think she thinks we talked about at the party,wh-gap,3,11
2,People wondered what you believe he suspects they worried about at the party,wh-gap,3,11
3,People wondered who she thinks you feared we heard about at the party,wh-gap,3,11
4,People wondered what he thinks she claims we spoke about at the party,wh-gap,3,11
5,People wondered who they suspect you assumed they asked about at the party,wh-gap,3,11
6,People wondered who we claim he maintains we complained about at the party,wh-gap,3,11
7,People wondered who she maintains they said we said about at the party,wh-gap,3,11
8,People wondered what he believes I think she argued about at the party,wh-gap,3,11
9,People wondered what you say you believed we speculated about at the party,wh-gap,3,11
10,People wondered what they think we supposed he thought about at the party,wh-gap,3,11
1,People wonder if you think she thinks we talked about them at the party,nwh-ngap,3,12
2,People wonder if you believe he suspects they worried about it at the party,nwh-ngap,3,12
3,People wonder if she thinks you feared we heard about them at the party,nwh-ngap,3,12
4,People wonder if he thinks she claims we spoke about that at the party,nwh-ngap,3,12
5,People wonder if they suspect you assumed they asked about this at the party,nwh-ngap,3,12
6,People wonder if we claim he maintains we complained about them at the party,nwh-ngap,3,12
7,People wonder if she maintains they said we said about them at the party,nwh-ngap,3,12
8,People wonder if he believes I think she argued about it at the party,nwh-ngap,3,12
9,People wondered if you say you believed we speculated about that at the party,nwh-ngap,3,12
10,People wondered if they think we supposed he thought about it at the party,nwh-ngap,3,12
1,People wonder if you think she thinks we talked about at the party,nwh-gap,3,11
2,People wonder if you believe he suspects they worried about at the party,nwh-gap,3,11
3,People wonder if she thinks you feared we heard about at the party,nwh-gap,3,11
4,People wonder if he thinks she claims we spoke about at the party,nwh-gap,3,11
5,People wonder if they suspect you assumed they asked about at the party,nwh-gap,3,11
6,People wonder if we claim he maintains we complained about at the party,nwh-gap,3,11
7,People wonder if she maintains they said we said about at the party,nwh-gap,3,11
8,People wonder if he believes I think she argued about at the party,nwh-gap,3,11
9,People wondered if you say you believed we speculated about at the party,nwh-gap,3,11
10,People wondered if they think we supposed he thought about at the party,nwh-gap,3,11
1,People wondered who people think you think she thinks we talked about them at the party,wh-ngap,4,14
2,People wondered what people think you believe he suspects they worried about it at the party,wh-ngap,4,14
3,People wondered who people think she thinks you feared we heard about them at the party,wh-ngap,4,14
4,People wondered what people think he thinks she claims we spoke about that at the party,wh-ngap,4,14
5,People wondered who people think they suspect you assumed they asked about this at the party,wh-ngap,4,14
6,People wondered who people think we claim he maintains we complained about them at the party,wh-ngap,4,14
7,People wondered who people think she maintains they said we said about them at the party,wh-ngap,4,14
8,People wondered what people think he believes I think she argued about it at the party,wh-ngap,4,14
9,People wondered what people think you said you believed we speculated about it at the party,wh-ngap,4,14
10,People wondered what people think they thought we supposed he thought about it at the party,wh-ngap,4,14
1,People wondered who people think you think she thinks we talked about at the party,wh-gap,4,13
2,People wondered what people think you believe he suspects they worried about at the party,wh-gap,4,13
3,People wondered who people think she thinks you feared we heard about at the party,wh-gap,4,13
4,People wondered what people think he thinks she claims we spoke about at the party,wh-gap,4,13
5,People wondered who people think they suspect you assumed they asked about at the party,wh-gap,4,13
6,People wondered who people think we claim he maintains we complained about at the party,wh-gap,4,13
7,People wondered who people think she maintains they said we said about at the party,wh-gap,4,13
8,People wondered what people think he believes I think she argued about at the party,wh-gap,4,13
9,People wondered what people think you said you believed we speculated about at the party,wh-gap,4,13
10,People wondered what people think they thought we supposed he thought about at the party,wh-gap,4,13
1,People wonder if people think you think she thinks we talked about them at the party,nwh-ngap,4,14
2,People wonder if people think you believe he suspects they worried about it at the party,nwh-ngap,4,14
3,People wonder if people think she thinks you feared we heard about them at the party,nwh-ngap,4,14
4,People wonder if people think he thinks she claims we spoke about that at the party,nwh-ngap,4,14
5,People wonder if people think they suspect you assumed they asked about this at the party,nwh-ngap,4,14
6,People wonder if people think we claim he maintains we complained about them at the party,nwh-ngap,4,14
7,People wonder if people think she maintains they said we said about them at the party,nwh-ngap,4,14
8,People wonder if people think he believes I think she argued about it at the party,nwh-ngap,4,14
9,People wondered if people think you said you believed we speculated about that at the party,nwh-ngap,4,14
10,People wondered if people think they thought we supposed he thought about it at the party,nwh-ngap,4,14
1,People wonder if people think you think she thinks we talked about at the party,nwh-gap,4,13
2,People wonder if people think you believe he suspects they worried about at the party,nwh-gap,4,13
3,People wonder if people think she thinks you feared we heard about at the party,nwh-gap,4,13
4,People wonder if people think he thinks she claims we spoke about at the party,nwh-gap,4,13
5,People wonder if people think they suspect you assumed they asked about at the party,nwh-gap,4,13
6,People wonder if people think we claim he maintains we complained about at the party,nwh-gap,4,13
7,People wonder if people think she maintains they said we said about at the party,nwh-gap,4,13
8,People wonder if people think he believes I think she argued about at the party,nwh-gap,4,13
9,People wondered if people think you said you believed we speculated about at the party,nwh-gap,4,13
10,People wondered if people think they thought we supposed he thought about at the party,nwh-gap,4,13
