It was the boys who I think,N-pl,1
It was the girls who I think,N-pl,1
It was the patients who I think,N-pl,1
It was the parents who I think,N-pl,1
It was the men who I think,N-pl,1
It was the women who I think,N-pl,1
It was the neighbors who I think,N-pl,1
It was the teachers who I think,N-pl,1
It was the lawyers who I think,N-pl,1
It was the reporters who I think,N-pl,1
It was the coaches who I think,N-pl,1
It was the customers who I think,N-pl,1
It was the officers who I think,N-pl,1
It was the patrons who I think,N-pl,1
It was the babies who I think,N-pl,1
It was the authors who I think,N-pl,1
It was the nurses who I think,N-pl,1
It was the instructors who I think,N-pl,1
It was the teenagers who I think,N-pl,1
It was the cousins who I think,N-pl,1
It was the boy who I think,N-sg,1
It was the girl who I think,N-sg,1
It was the patient who I think,N-sg,1
It was the parent who I think,N-sg,1
It was the man who I think,N-sg,1
It was the woman who I think,N-sg,1
It was the neighbor who I think,N-sg,1
It was the teacher who I think,N-sg,1
It was the lawyer who I think,N-sg,1
It was the reporter who I think,N-sg,1
It was the coach who I think,N-sg,1
It was the customer who I think,N-sg,1
It was the officer who I think,N-sg,1
It was the patron who I think,N-sg,1
It was the baby who I think,N-sg,1
It was the author who I think,N-sg,1
It was the nurse who I think,N-sg,1
It was the instructor who I think,N-sg,1
It was the teenager who I think,N-sg,1
It was the cousin who I think,N-sg,1
It was the boys who I think you said,N-pl,2
It was the girls who I think you said,N-pl,2
It was the patients who I think you said,N-pl,2
It was the parents who I think you said,N-pl,2
It was the men who I think you said,N-pl,2
It was the women who I think you said,N-pl,2
It was the neighbors who I think you said,N-pl,2
It was the teachers who I think you said,N-pl,2
It was the lawyers who I think you said,N-pl,2
It was the reporters who I think you said,N-pl,2
It was the coaches who I think you said,N-pl,2
It was the customers who I think you said,N-pl,2
It was the officers who I think you said,N-pl,2
It was the patrons who I think you said,N-pl,2
It was the babies who I think you said,N-pl,2
It was the authors who I think you said,N-pl,2
It was the nurses who I think you said,N-pl,2
It was the instructors who I think you said,N-pl,2
It was the teenagers who I think you said,N-pl,2
It was the cousins who I think you said,N-pl,2
It was the boy who I think you said,N-sg,2
It was the girl who I think you said,N-sg,2
It was the patient who I think you said,N-sg,2
It was the parent who I think you said,N-sg,2
It was the man who I think you said,N-sg,2
It was the woman who I think you said,N-sg,2
It was the neighbor who I think you said,N-sg,2
It was the teacher who I think you said,N-sg,2
It was the lawyer who I think you said,N-sg,2
It was the reporter who I think you said,N-sg,2
It was the coach who I think you said,N-sg,2
It was the customer who I think you said,N-sg,2
It was the officer who I think you said,N-sg,2
It was the patron who I think you said,N-sg,2
It was the baby who I think you said,N-sg,2
It was the author who I think you said,N-sg,2
It was the nurse who I think you said,N-sg,2
It was the instructor who I think you said,N-sg,2
It was the teenager who I think you said,N-sg,2
It was the cousin who I think you said,N-sg,2
It was the boys who I think you said you thought,N-pl,3
It was the girls who I think you said you thought,N-pl,3
It was the patients who I think you said you thought,N-pl,3
It was the parents who I think you said you thought,N-pl,3
It was the men who I think you said you thought,N-pl,3
It was the women who I think you said you thought,N-pl,3
It was the neighbors who I think you said you thought,N-pl,3
It was the teachers who I think you said you thought,N-pl,3
It was the lawyers who I think you said you thought,N-pl,3
It was the reporters who I think you said you thought,N-pl,3
It was the coaches who I think you said you thought,N-pl,3
It was the customers who I think you said you thought,N-pl,3
It was the officers who I think you said you thought,N-pl,3
It was the patrons who I think you said you thought,N-pl,3
It was the babies who I think you said you thought,N-pl,3
It was the authors who I think you said you thought,N-pl,3
It was the nurses who I think you said you thought,N-pl,3
It was the instructors who I think you said you thought,N-pl,3
It was the teenagers who I think you said you thought,N-pl,3
It was the cousins who I think you said you thought,N-pl,3
It was the boy who I think you said you thought,N-sg,3
It was the girl who I think you said you thought,N-sg,3
It was the patient who I think you said you thought,N-sg,3
It was the parent who I think you said you thought,N-sg,3
It was the man who I think you said you thought,N-sg,3
It was the woman who I think you said you thought,N-sg,3
It was the neighbor who I think you said you thought,N-sg,3
It was the teacher who I think you said you thought,N-sg,3
It was the lawyer who I think you said you thought,N-sg,3
It was the reporter who I think you said you thought,N-sg,3
It was the coach who I think you said you thought,N-sg,3
It was the customer who I think you said you thought,N-sg,3
It was the officer who I think you said you thought,N-sg,3
It was the patron who I think you said you thought,N-sg,3
It was the baby who I think you said you thought,N-sg,3
It was the author who I think you said you thought,N-sg,3
It was the nurse who I think you said you thought,N-sg,3
It was the instructor who I think you said you thought,N-sg,3
It was the teenager who I think you said you thought,N-sg,3
It was the cousin who I think you said you thought,N-sg,3
It was the boys who people believe I think you said you thought,N-pl,4
It was the girls who people believe I think you said you thought,N-pl,4
It was the patients who people believe I think you said you thought,N-pl,4
It was the parents who people believe I think you said you thought,N-pl,4
It was the men who people believe I think you said you thought,N-pl,4
It was the women who people believe I think you said you thought,N-pl,4
It was the neighbors who people believe I think you said you thought,N-pl,4
It was the teachers who people believe I think you said you thought,N-pl,4
It was the lawyers who people believe I think you said you thought,N-pl,4
It was the reporters who people believe I think you said you thought,N-pl,4
It was the coaches who people believe I think you said you thought,N-pl,4
It was the customers who people believe I think you said you thought,N-pl,4
It was the officers who people believe I think you said you thought,N-pl,4
It was the patrons who people believe I think you said you thought,N-pl,4
It was the babies who people believe I think you said you thought,N-pl,4
It was the authors who people believe I think you said you thought,N-pl,4
It was the nurses who people believe I think you said you thought,N-pl,4
It was the instructors who people believe I think you said you thought,N-pl,4
It was the teenagers who people believe I think you said you thought,N-pl,4
It was the cousins who people believe I think you said you thought,N-pl,4
It was the boy who people believe I think you said you thought,N-sg,4
It was the girl who people believe I think you said you thought,N-sg,4
It was the patient who people believe I think you said you thought,N-sg,4
It was the parent who people believe I think you said you thought,N-sg,4
It was the man who people believe I think you said you thought,N-sg,4
It was the woman who people believe I think you said you thought,N-sg,4
It was the neighbor who people believe I think you said you thought,N-sg,4
It was the teacher who people believe I think you said you thought,N-sg,4
It was the lawyer who people believe I think you said you thought,N-sg,4
It was the reporter who people believe I think you said you thought,N-sg,4
It was the coach who people believe I think you said you thought,N-sg,4
It was the customer who people believe I think you said you thought,N-sg,4
It was the officer who people believe I think you said you thought,N-sg,4
It was the patron who people believe I think you said you thought,N-sg,4
It was the baby who people believe I think you said you thought,N-sg,4
It was the author who people believe I think you said you thought,N-sg,4
It was the nurse who people believe I think you said you thought,N-sg,4
It was the instructor who people believe I think you said you thought,N-sg,4
It was the teenager who people believe I think you said you thought,N-sg,4
It was the cousin who people believe I think you said you thought,N-sg,4
