1,Who did we talk about them ,wh-ngap,1
2,What did they worry about it ,wh-ngap,1
3,Who did we hear about them ,wh-ngap,1
4,What did we speak about that ,wh-ngap,1
5,Who did they ask about this ,wh-ngap,1
6,Who did we complain about them ,wh-ngap,1
7,Who did we chat about them ,wh-ngap,1
8,What did she argue about it ,wh-ngap,1
9,What did we speculate about it ,wh-ngap,1
10,What did he think about it ,wh-ngap,1
1,Who did we talk about ,wh-gap,1
2,What did they worry about ,wh-gap,1
3,Who did we hear about ,wh-gap,1
4,What did we speak about ,wh-gap,1
5,Who did they ask about ,wh-gap,1
6,Who did we complain about ,wh-gap,1
7,Who did we chat about ,wh-gap,1
8,What did she argue about ,wh-gap,1
9,What did we speculate about ,wh-gap,1
10,What did he think about ,wh-gap,1
1,Did we talk about them ,nwh-ngap,1
2,Did they worry about it ,nwh-ngap,1
3,Did we hear about them ,nwh-ngap,1
4,Did we speak about that ,nwh-ngap,1
5,Did they ask about this ,nwh-ngap,1
6,Did we complain about them ,nwh-ngap,1
7,Did we chat about them ,nwh-ngap,1
8,Did she argue about it ,nwh-ngap,1
9,Did we speculate about that ,nwh-ngap,1
10,Did he think about it ,nwh-ngap,1
1,Did we talk about ,nwh-gap,1
2,Did they worry about ,nwh-gap,1
3,Did we hear about ,nwh-gap,1
4,Did we speak about ,nwh-gap,1
5,Did they ask about ,nwh-gap,1
6,Did we complain about ,nwh-gap,1
7,Did we chat about ,nwh-gap,1
8,Did she argue about ,nwh-gap,1
9,Did we speculate about ,nwh-gap,1
10,Did he think about ,nwh-gap,1
1,Who does she think we talked about them ,wh-ngap,2
2,What does he suspect they worried about it ,wh-ngap,2
3,Who do you fear we heard about them ,wh-ngap,2
4,What does she claim we spoke about that ,wh-ngap,2
5,Who do you assume they asked about this ,wh-ngap,2
6,Who does he maintain we complained about them ,wh-ngap,2
7,Who do they say we chatted about them ,wh-ngap,2
8,What do I think she argued about it ,wh-ngap,2
9,What do you believe we speculated about it ,wh-ngap,2
10,What do we suppose he thought about it ,wh-ngap,2
1,Who does she think we talked about ,wh-gap,2
2,What does he suspect they worried about ,wh-gap,2
3,Who do you fear we heard about ,wh-gap,2
4,What does she claim we spoke about ,wh-gap,2
5,Who do you assume they asked about ,wh-gap,2
6,Who does he maintain we complained about ,wh-gap,2
7,Who do they say we chatted about ,wh-gap,2
8,What do I think she argued about ,wh-gap,2
9,What do you believe we speculated about ,wh-gap,2
10,What do we suppose he thought about ,wh-gap,2
1,Does she think we talked about them ,nwh-ngap,2
2,Does he suspect they worried about it ,nwh-ngap,2
3,Do you fear we heard about them ,nwh-ngap,2
4,Does she claim we spoke about that ,nwh-ngap,2
5,Do you assume they asked about this ,nwh-ngap,2
6,Does he maintain we complained about them ,nwh-ngap,2
7,Do they say we chatted about them ,nwh-ngap,2
8,Do I think she argued about it ,nwh-ngap,2
9,Do you believe we speculated about that ,nwh-ngap,2
10,Do we suppose he thought about it ,nwh-ngap,2
1,Does she think we talked about ,nwh-gap,2
2,Does he suspect they worried about ,nwh-gap,2
3,Do you fear we heard about ,nwh-gap,2
4,Does she claim we spoke about ,nwh-gap,2
5,Do you assume they asked about ,nwh-gap,2
6,Does he maintain we complained about ,nwh-gap,2
7,Do they say we chatted about ,nwh-gap,2
8,Do I think she argued about ,nwh-gap,2
9,Do you believe we speculated about ,nwh-gap,2
10,Do we suppose he thought about ,nwh-gap,2
1,Who do you think she thinks we talked about them ,wh-ngap,3
2,What do you believe he suspects they worried about it ,wh-ngap,3
3,Who does she think you feared we heard about them ,wh-ngap,3
4,What does he think she claims we spoke about that ,wh-ngap,3
5,Who do they suspect you assumed they asked about this ,wh-ngap,3
6,Who do we claim he maintains we complained about them ,wh-ngap,3
7,Who does she maintain they said we chatted about them ,wh-ngap,3
8,What does he believe I think she argued about it ,wh-ngap,3
9,What did you say you believed we speculated about it ,wh-ngap,3
10,What did they think we supposed he thought about it ,wh-ngap,3
1,Who you think she thinks we talked about ,wh-gap,3
2,What do you believe he suspects they worried about ,wh-gap,3
3,Who does she think you feared we heard about ,wh-gap,3
4,What does he think she claims we spoke about ,wh-gap,3
5,Who do they suspect you assumed they asked about ,wh-gap,3
6,Who do we claim he maintains we complained about ,wh-gap,3
7,Who does she maintain they said we chatted about ,wh-gap,3
8,What does he believe I think she argued about ,wh-gap,3
9,What did you say you believed we speculated about ,wh-gap,3
10,What did they think we supposed he thought about ,wh-gap,3
1,Do you think she thinks we talked about them ,nwh-ngap,3
2,Do you believe he suspects they worried about it ,nwh-ngap,3
3,Does she think you feared we heard about them ,nwh-ngap,3
4,Does he think she claims we spoke about that ,nwh-ngap,3
5,Do they suspect you assumed they asked about this ,nwh-ngap,3
6,Do we claim he maintains we complained about them ,nwh-ngap,3
7,Does she maintain they said we chatted about them ,nwh-ngap,3
8,Does he believe I think she argued about it ,nwh-ngap,3
9,Did you say you believed we speculated about that ,nwh-ngap,3
10,Did they think we supposed he thought about it ,nwh-ngap,3
1,Do you think she thinks we talked about ,nwh-gap,3
2,Do you believe he suspects they worried about ,nwh-gap,3
3,Does she think you feared we heard about ,nwh-gap,3
4,Does he think she claims we spoke about ,nwh-gap,3
5,Do they suspect you assumed they asked about ,nwh-gap,3
6,Do we claim he maintains we complained about ,nwh-gap,3
7,Does she maintain they said we chatted about ,nwh-gap,3
8,Does he believe I think she argued about ,nwh-gap,3
9,Did you say you believed we speculated about ,nwh-gap,3
10,Did they think we supposed he thought about ,nwh-gap,3
1,Who do people think you think she thinks we talked about them ,wh-ngap,4
2,What do people think you believe he suspects they worried about it ,wh-ngap,4
3,Who do people think she thinks you feared we heard about them ,wh-ngap,4
4,What do people think he thinks she claims we spoke about that ,wh-ngap,4
5,Who do people think they suspect you assumed they asked about this ,wh-ngap,4
6,Who do people think we claim he maintains we complained about them ,wh-ngap,4
7,Who do people think  she maintain they said we chatted about them ,wh-ngap,4
8,What do people think he believes I think she argued about it ,wh-ngap,4
9,What did people think you said you believed we speculated about it ,wh-ngap,4
10,What did people think they thought we supposed he thought about it ,wh-ngap,4
1,Who do people think you think she thinks we talked about ,wh-gap,4
2,What do people think you believe he suspects they worried about ,wh-gap,4
3,Who do people think she thinks you feared we heard about ,wh-gap,4
4,What do people think he thinks she claims we spoke about ,wh-gap,4
5,Who do people think they suspect you assumed they asked about ,wh-gap,4
6,Who do people think we claim he maintains we complained about ,wh-gap,4
7,Who do people think she maintains they said we chatted about ,wh-gap,4
8,What do people think he believes I think she argued about ,wh-gap,4
9,What did people think you said you believed we speculated about ,wh-gap,4
10,What did people think they thought we supposed he thought about ,wh-gap,4
1,Do people think you think she thinks we talked about them ,nwh-ngap,4
2,Do people think you believe he suspects they worried about it ,nwh-ngap,4
3,Do people think she thinks you feared we heard about them ,nwh-ngap,4
4,Do people think he thinks she claims we spoke about that ,nwh-ngap,4
5,Do people think they suspect you assumed they asked about this ,nwh-ngap,4
6,Do people think we claim he maintains we complained about them ,nwh-ngap,4
7,Do people think she maintains they said we chatted about them ,nwh-ngap,4
8,Do people think he believes I think she argued about it ,nwh-ngap,4
9,Did people think you said you believed we speculated about that ,nwh-ngap,4
10,Did people think they thought we supposed he thought about it ,nwh-ngap,4
1,Do people think you think she thinks we talked about ,nwh-gap,4
2,Do people think you believe he suspects they worried about ,nwh-gap,4
3,Do people think she thinks you feared we heard about ,nwh-gap,4
4,Do people think he thinks she claims we spoke about ,nwh-gap,4
5,Do people think they suspect you assumed they asked about ,nwh-gap,4
6,Do people think we claim he maintains we complained about ,nwh-gap,4
7,Do people think she maintains they said we chatted about ,nwh-gap,4
8,Do people think he believes I think she argued about ,nwh-gap,4
9,Did people think you said you believed we speculated about ,nwh-gap,4
10,Did people think they thought we supposed he thought about ,nwh-gap,4
1,Who did we talk about them at the conference,wh-ngap,1
2,What did they worry about it at the conference,wh-ngap,1
3,Who did we hear about them at the conference,wh-ngap,1
4,What did we speak about that at the conference,wh-ngap,1
5,Who did they ask about this at the conference,wh-ngap,1
6,Who did we complain about them at the conference,wh-ngap,1
7,Who did we chat about them at the conference,wh-ngap,1
8,What did she argue about it at the conference,wh-ngap,1
9,What did we speculate about it at the conference,wh-ngap,1
10,What did he think about it at the conference,wh-ngap,1
1,Who did we talk about at the conference,wh-gap,1
2,What did they worry about at the conference,wh-gap,1
3,Who did we hear about at the conference,wh-gap,1
4,What did we speak about at the conference,wh-gap,1
5,Who did they ask about at the conference,wh-gap,1
6,Who did we complain about at the conference,wh-gap,1
7,Who did we chat about at the conference,wh-gap,1
8,What did she argue about at the conference,wh-gap,1
9,What did we speculate about at the conference,wh-gap,1
10,What did he think about at the conference,wh-gap,1
1,Did we talk about them at the conference,nwh-ngap,1
2,Did they worry about it at the conference,nwh-ngap,1
3,Did we hear about them at the conference,nwh-ngap,1
4,Did we speak about that at the conference,nwh-ngap,1
5,Did they ask about this at the conference,nwh-ngap,1
6,Did we complain about them at the conference,nwh-ngap,1
7,Did we chat about them at the conference,nwh-ngap,1
8,Did she argue about it at the conference,nwh-ngap,1
9,Did we speculate about that at the conference,nwh-ngap,1
10,Did he think about it at the conference,nwh-ngap,1
1,Did we talk about at the conference,nwh-gap,1
2,Did they worry about at the conference,nwh-gap,1
3,Did we hear about at the conference,nwh-gap,1
4,Did we speak about at the conference,nwh-gap,1
5,Did they ask about at the conference,nwh-gap,1
6,Did we complain about at the conference,nwh-gap,1
7,Did we chat about at the conference,nwh-gap,1
8,Did she argue about at the conference,nwh-gap,1
9,Did we speculate about at the conference,nwh-gap,1
10,Did he think about at the conference,nwh-gap,1
1,Who does she think we relied on them at the conference,wh-ngap,2
2,What does he suspect they focused on it at the conference,wh-ngap,2
3,Who do you fear we worked with them at the conference,wh-ngap,2
4,What does she claim we insisted on that at the conference,wh-ngap,2
5,Who do you assume they trusted in this at the conference,wh-ngap,2
